sample_id,population_id,superpopulation,dataset,country,neural_ancestry
NA18971,JPT,East Asian,kg,,East Asian
NA18972,JPT,East Asian,kg,,East Asian
NA18973,JPT,East Asian,kg,,East Asian
NA18974,JPT,East Asian,kg,,East Asian
NA18975,JPT,East Asian,kg,,East Asian
NA18976,JPT,East Asian,kg,,East Asian
NA18977,JPT,East Asian,kg,,East Asian
NA18978,JPT,East Asian,kg,,East Asian
NA18979,JPT,East Asian,kg,,East Asian
NA18980,JPT,East Asian,kg,,East Asian
NA18981,JPT,East Asian,kg,,East Asian
NA18982,JPT,East Asian,kg,,East Asian
NA18983,JPT,East Asian,kg,,East Asian
NA18984,JPT,East Asian,kg,,East Asian
NA18985,JPT,East Asian,kg,,East Asian
NA18986,JPT,East Asian,kg,,East Asian
NA18987,JPT,East Asian,kg,,East Asian
NA18988,JPT,East Asian,kg,,East Asian
NA18989,JPT,East Asian,kg,,East Asian
NA18990,JPT,East Asian,kg,,East Asian
NA18991,JPT,East Asian,kg,,East Asian
NA18992,JPT,East Asian,kg,,East Asian
NA18993,JPT,East Asian,kg,,East Asian
NA18994,JPT,East Asian,kg,,East Asian
NA18995,JPT,East Asian,kg,,East Asian
NA18997,JPT,East Asian,kg,,East Asian
NA18998,JPT,East Asian,kg,,East Asian
NA18999,JPT,East Asian,kg,,East Asian
NA19000,JPT,East Asian,kg,,East Asian
NA19001,JPT,East Asian,kg,,East Asian
NA19002,JPT,East Asian,kg,,East Asian
NA19003,JPT,East Asian,kg,,East Asian
NA19004,JPT,East Asian,kg,,East Asian
NA19005,JPT,East Asian,kg,,East Asian
NA19006,JPT,East Asian,kg,,East Asian
NA19007,JPT,East Asian,kg,,East Asian
NA19009,JPT,East Asian,kg,,East Asian
NA19010,JPT,East Asian,kg,,East Asian
NA19011,JPT,East Asian,kg,,East Asian
NA19012,JPT,East Asian,kg,,East Asian
NA19017,LWK,African,kg,,African
NA19019,LWK,African,kg,,African
NA19020,LWK,African,kg,,African
NA19023,LWK,African,kg,,African
NA19024,LWK,African,kg,,African
NA19025,LWK,African,kg,,African
NA19026,LWK,African,kg,,African
NA19027,LWK,African,kg,,African
NA19028,LWK,African,kg,,African
NA19030,LWK,African,kg,,African
NA19031,LWK,African,kg,,African
NA19035,LWK,African,kg,,African
NA19036,LWK,African,kg,,African
NA19037,LWK,African,kg,,African
NA19038,LWK,African,kg,,African
NA19041,LWK,African,kg,,African
NA19042,LWK,African,kg,,African
NA19043,LWK,African,kg,,African
NA19054,JPT,East Asian,kg,,East Asian
NA19055,JPT,East Asian,kg,,East Asian
NA19056,JPT,East Asian,kg,,East Asian
NA19057,JPT,East Asian,kg,,East Asian
NA19058,JPT,East Asian,kg,,East Asian
NA19059,JPT,East Asian,kg,,East Asian
NA19060,JPT,East Asian,kg,,East Asian
NA19062,JPT,East Asian,kg,,East Asian
NA19063,JPT,East Asian,kg,,East Asian
NA19064,JPT,East Asian,kg,,East Asian
NA19065,JPT,East Asian,kg,,East Asian
NA19066,JPT,East Asian,kg,,East Asian
NA19067,JPT,East Asian,kg,,East Asian
NA19068,JPT,East Asian,kg,,East Asian
NA19070,JPT,East Asian,kg,,East Asian
NA19072,JPT,East Asian,kg,,East Asian
NA19074,JPT,East Asian,kg,,East Asian
NA19075,JPT,East Asian,kg,,East Asian
NA19076,JPT,East Asian,kg,,East Asian
NA19077,JPT,East Asian,kg,,East Asian
NA19078,JPT,East Asian,kg,,East Asian
NA19079,JPT,East Asian,kg,,East Asian
NA19080,JPT,East Asian,kg,,East Asian
NA19081,JPT,East Asian,kg,,East Asian
NA19082,JPT,East Asian,kg,,East Asian
NA19083,JPT,East Asian,kg,,East Asian
NA19084,JPT,East Asian,kg,,East Asian
NA19085,JPT,East Asian,kg,,East Asian
NA19086,JPT,East Asian,kg,,East Asian
NA19087,JPT,East Asian,kg,,East Asian
NA19088,JPT,East Asian,kg,,East Asian
NA19089,JPT,East Asian,kg,,East Asian
NA19090,JPT,East Asian,kg,,East Asian
NA19091,JPT,East Asian,kg,,East Asian
NA19092,YRI,African,kg,,African
NA19093,YRI,African,kg,,African
NA19094,YRI,African,kg,,
NA19095,YRI,African,kg,,African
NA19096,YRI,African,kg,,African
NA19097,YRI,African,kg,,
NA19098,YRI,African,kg,,African
NA19099,YRI,African,kg,,African
NA19100,YRI,African,kg,,
NA19101,YRI,African,kg,,
NA19102,YRI,African,kg,,African
NA19103,YRI,African,kg,,
NA19107,YRI,African,kg,,African
NA19108,YRI,African,kg,,African
NA19109,YRI,African,kg,,
NA19113,YRI,African,kg,,African
NA19114,YRI,African,kg,,African
NA19115,YRI,African,kg,,
NA19116,YRI,African,kg,,African
NA19117,YRI,African,kg,,African
NA19118,YRI,African,kg,,African
NA19119,YRI,African,kg,,African
NA19120,YRI,African,kg,,
NA19121,YRI,African,kg,,African
NA19122,YRI,African,kg,,
NA19123,YRI,African,kg,,
NA19127,YRI,African,kg,,
NA19128,YRI,African,kg,,
NA19129,YRI,African,kg,,African
NA19130,YRI,African,kg,,African
NA19131,YRI,African,kg,,African
NA19132,YRI,African,kg,,
NA19137,YRI,African,kg,,African
NA19138,YRI,African,kg,,African
NA19139,YRI,African,kg,,
NA19140,YRI,African,kg,,
