sample_id,population_id,superpopulation,dataset,country,neural_ancestry
NA20900,GIH,South Asian,kg,,South Asian
NA20901,GIH,South Asian,kg,,South Asian
NA20902,GIH,South Asian,kg,,South Asian
NA20903,GIH,South Asian,kg,,South Asian
NA20904,GIH,South Asian,kg,,South Asian
NA20905,GIH,South Asian,kg,,South Asian
NA20906,GIH,South Asian,kg,,South Asian
NA20908,GIH,South Asian,kg,,South Asian
NA20910,GIH,South Asian,kg,,South Asian
NA20911,GIH,South Asian,kg,,South Asian
NA21086,GIH,South Asian,kg,,South Asian
NA21087,GIH,South Asian,kg,,South Asian
NA21088,GIH,South Asian,kg,,South Asian
NA21089,GIH,South Asian,kg,,South Asian
NA21090,GIH,South Asian,kg,,South Asian
NA21091,GIH,South Asian,kg,,South Asian
NA21092,GIH,South Asian,kg,,South Asian
NA21093,GIH,South Asian,kg,,South Asian
NA21094,GIH,South Asian,kg,,South Asian
NA21095,GIH,South Asian,kg,,South Asian
NA21097,GIH,South Asian,kg,,South Asian
NA21098,GIH,South Asian,kg,,South Asian
NA21099,GIH,South Asian,kg,,South Asian
NA21100,GIH,South Asian,kg,,South Asian
