sample_id,population_id,superpopulation,dataset,country,neural_ancestry,supervised,in_qc_panel,African,American,East Asian,European,South Asian,max_ancestry,assigned_group
HG02970,ESN,African,kg,,African,yes,yes,0.99996,1e-05,1e-05,1e-05,1e-05,0.99996,African
HG02971,ESN,African,kg,,African,yes,yes,0.99996,1e-05,1e-05,1e-05,1e-05,0.99996,African
HG02972,ESN,African,kg,,,yes,no,,,,,,,
HG02973,ESN,African,kg,,African,yes,yes,0.999954,1e-05,1.6e-05,1e-05,1e-05,0.999954,African
HG02974,ESN,African,kg,,African,yes,yes,0.999958,1e-05,1.2e-05,1e-05,1e-05,0.999958,African
HG02975,ESN,African,kg,,,yes,no,,,,,,,
HG02976,ESN,African,kg,,African,yes,yes,0.99996,1e-05,1e-05,1e-05,1e-05,0.99996,African
HG02977,ESN,African,kg,,African,yes,yes,0.999956,1.4e-05,1e-05,1e-05,1e-05,0.999956,African
HG02978,ESN,African,kg,,,yes,no,,,,,,,
HG02979,ESN,African,kg,,African,yes,yes,0.999957,1e-05,1e-05,1.3e-05,1e-05,0.999957,African
HG02980,ESN,African,kg,,,yes,no,,,,,,,
HG02981,ESN,African,kg,,African,yes,yes,0.99996,1e-05,1e-05,1e-05,1e-05,0.99996,African
HG02982,GWD,African,kg,,African,no,yes,0.994804,1e-05,0.005166,1e-05,1e-05,0.994804,African
HG02983,GWD,African,kg,,African,no,yes,0.995771,1e-05,0.004199,1e-05,1e-05,0.995771,African
HG02984,GWD,African,kg,,,no,no,,,,,,,
HG03006,BEB,South Asian,kg,,South Asian,no,yes,1e-05,0.00335,0.12056,0.025445,0.850635,0.850635,South Asian
HG03007,BEB,South Asian,kg,,South Asian,no,yes,1e-05,0.002639,0.123292,0.021969,0.85209,0.85209,South Asian
HG03008,BEB,South Asian,kg,,,no,no,,,,,,,
HG03009,BEB,South Asian,kg,,South Asian,no,yes,0.004369,0.001381,0.122939,0.037477,0.833834,0.833834,South Asian
HG03012,BEB,South Asian,kg,,South Asian,no,yes,1e-05,1.5e-05,0.121426,0.012141,0.866407,0.866407,South Asian
HG03015,PJL,South Asian,kg,,South Asian,no,yes,1e-05,0.006236,0.030855,0.036444,0.926455,0.926455,South Asian
HG03016,PJL,South Asian,kg,,South Asian,no,yes,1e-05,0.013317,0.024582,0.035269,0.926823,0.926823,South Asian
HG03017,PJL,South Asian,kg,,,no,no,,,,,,,
HG03018,PJL,South Asian,kg,,South Asian,no,yes,0.002932,0.008774,0.024244,0.042565,0.921485,0.921485,South Asian
HG03019,PJL,South Asian,kg,,South Asian,no,yes,1e-05,0.003124,0.039794,0.020042,0.93703,0.93703,South Asian
HG03021,PJL,South Asian,kg,,South Asian,no,yes,0.003483,0.004705,0.029533,0.031466,0.930812,0.930812,South Asian
HG03022,PJL,South Asian,kg,,South Asian,no,yes,0.000281,0.01393,0.01834,0.059802,0.907647,0.907647,South Asian
HG03024,GWD,African,kg,,African,no,yes,0.999954,1e-05,1e-05,1.6e-05,1e-05,0.999954,African
HG03025,GWD,African,kg,,African,no,yes,0.99996,1e-05,1e-05,1e-05,1e-05,0.99996,African
HG03026,GWD,African,kg,,,no,no,,,,,,,
HG03027,GWD,African,kg,,African,no,yes,0.999956,1e-05,1.4e-05,1e-05,1e-05,0.999956,African
HG03028,GWD,African,kg,,African,no,yes,0.996721,1.4e-05,0.003245,1e-05,1e-05,0.996721,African
HG03029,GWD,African,kg,,,no,no,,,,,,,
HG03033,GWD,African,kg,,,no,yes,0.99996,1e-05,1e-05,1e-05,1e-05,0.99996,African
HG03034,GWD,African,kg,,,no,yes,0.995184,1e-05,0.004786,1e-05,1e-05,0.995184,African
HG03035,GWD,African,kg,,,no,no,,,,,,,
HG03039,GWD,African,kg,,African,no,yes,0.997681,1e-05,0.002289,1e-05,1e-05,0.997681,African
HG03040,GWD,African,kg,,African,no,yes,0.998834,1e-05,0.001136,1e-05,1e-05,0.998834,African
HG03041,GWD,African,kg,,,no,no,,,,,,,
HG03045,GWD,African,kg,,African,no,yes,0.988029,1e-05,1.5e-05,0.011936,1e-05,0.988029,African
HG03046,GWD,African,kg,,African,no,yes,0.985094,1e-05,0.002768,0.009236,0.002892,0.985094,African
HG03047,GWD,African,kg,,,no,no,,,,,,,
HG03048,GWD,African,kg,,African,no,yes,0.994221,1e-05,0.004539,0.00122,1e-05,0.994221,African
HG03049,GWD,African,kg,,African,no,yes,0.992425,1.3e-05,0.00754,1.1e-05,1e-05,0.992425,African
HG03050,GWD,African,kg,,,no,no,,,,,,,
HG03052,MSL,African,kg,,African,yes,yes,0.99996,1e-05,1e-05,1e-05,1e-05,0.99996,African
HG03054,MSL,African,kg,,African,yes,yes,0.999951,1e-05,1.9e-05,1e-05,1e-05,0.999951,African
HG03055,MSL,African,kg,,African,yes,yes,0.99996,1e-05,1e-05,1e-05,1e-05,0.99996,African
HG03056,MSL,African,kg,,,yes,no,,,,,,,
HG03057,MSL,African,kg,,African,yes,yes,0.99996,1e-05,1e-05,1e-05,1e-05,0.99996,African
HG03058,MSL,African,kg,,African,yes,yes,0.99996,1e-05,1e-05,1e-05,1e-05,0.99996,African
HG03060,MSL,African,kg,,African,yes,yes,0.99996,1e-05,1e-05,1e-05,1e-05,0.99996,African
HG03061,MSL,African,kg,,African,yes,yes,0.99996,1e-05,1e-05,1e-05,1e-05,0.99996,African
HG03063,MSL,African,kg,,African,yes,yes,0.99996,1e-05,1e-05,1e-05,1e-05,0.99996,African
HG03064,MSL,African,kg,,African,yes,yes,0.999958,1e-05,1.2e-05,1e-05,1e-05,0.999958,African
HG03065,MSL,African,kg,,,yes,no,,,,,,,
HG03066,MSL,African,kg,,African,yes,yes,0.99996,1e-05,1e-05,1e-05,1e-05,0.99996,African
HG03069,MSL,African,kg,,African,yes,yes,0.99996,1e-05,1e-05,1e-05,1e-05,0.99996,African
HG03072,MSL,African,kg,,African,yes,yes,0.999956,1e-05,1.4e-05,1e-05,1e-05,0.999956,African
HG03073,MSL,African,kg,,African,yes,yes,0.999956,1.3e-05,1.1e-05,1e-05,1e-05,0.999956,African
HG03074,MSL,African,kg,,African,yes,yes,0.99996,1e-05,1e-05,1e-05,1e-05,0.99996,African
HG03077,MSL,African,kg,,African,yes,yes,0.99996,1e-05,1e-05,1e-05,1e-05,0.99996,African
HG03078,MSL,African,kg,,African,yes,yes,0.998363,1e-05,0.001607,1e-05,1e-05,0.998363,African
HG03079,MSL,African,kg,,African,yes,yes,0.999958,1e-05,1.2e-05,1e-05,1e-05,0.999958,African
HG03081,MSL,African,kg,,African,yes,yes,0.99996,1e-05,1e-05,1e-05,1e-05,0.99996,African
HG03082,MSL,African,kg,,African,yes,yes,0.99996,1e-05,1e-05,1e-05,1e-05,0.99996,African
HG03084,MSL,African,kg,,African,yes,yes,0.999958,1.2e-05,1e-05,1e-05,1e-05,0.999958,African
HG03085,MSL,African,kg,,African,yes,yes,0.999955,1.5e-05,1e-05,1e-05,1e-05,0.999955,African
HG03086,MSL,African,kg,,African,yes,yes,0.999959,1e-05,1e-05,1.1e-05,1e-05,0.999959,African
HG03088,MSL,African,kg,,African,yes,yes,0.99996,1e-05,1e-05,1e-05,1e-05,0.99996,African
HG03091,MSL,African,kg,,African,yes,yes,0.99996,1e-05,1e-05,1e-05,1e-05,0.99996,African
HG03095,MSL,African,kg,,African,yes,yes,0.99996,1e-05,1e-05,1e-05,1e-05,0.99996,African
HG03096,MSL,African,kg,,African,yes,yes,0.999956,1.4e-05,1e-05,1e-05,1e-05,0.999956,African
HG03097,MSL,African,kg,,African,yes,no,,,,,,,
HG03098,MSL,African,kg,,,yes,no,,,,,,,
HG03099,ESN,African,kg,,African,yes,yes,0.99996,1e-05,1e-05,1e-05,1e-05,0.99996,African
HG03100,ESN,African,kg,,African,yes,yes,0.999957,1e-05,1.3e-05,1e-05,1e-05,0.999957,African
HG03101,ESN,African,kg,,,yes,no,,,,,,,
HG03103,ESN,African,kg,,African,yes,yes,0.99996,1e-05,1e-05,1e-05,1e-05,0.99996,African
HG03105,ESN,African,kg,,African,yes,yes,0.99996,1e-05,1e-05,1e-05,1e-05,0.99996,African
HG03108,ESN,African,kg,,African,yes,yes,0.999959,1.1e-05,1e-05,1e-05,1e-05,0.999959,African
HG03109,ESN,African,kg,,African,yes,yes,0.99996,1e-05,1e-05,1e-05,1e-05,0.99996,African
HG03110,ESN,African,kg,,,yes,no,,,,,,,
HG03111,ESN,African,kg,,African,yes,yes,0.999956,1.4e-05,1e-05,1e-05,1e-05,0.999956,African
HG03112,ESN,African,kg,,African,yes,yes,0.99996,1e-05,1e-05,1e-05,1e-05,0.99996,African
HG03113,ESN,African,kg,,,yes,no,,,,,,,
HG03114,ESN,African,kg,,African,yes,yes,0.99996,1e-05,1e-05,1e-05,1e-05,0.99996,African
HG03115,ESN,African,kg,,African,yes,yes,0.99996,1e-05,1e-05,1e-05,1e-05,0.99996,African
