sample_id,population_id,superpopulation,dataset,country,neural_ancestry,supervised,in_qc_panel,African,American,European,max_ancestry,assigned_group
HG00444,CHS,East Asian,kg,,,yes,no,,,,,
HG00445,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG00446,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG00447,CHS,East Asian,kg,,,yes,no,,,,,
HG00448,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG00449,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG00450,CHS,East Asian,kg,,,yes,no,,,,,
HG00451,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG00452,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG00453,CHS,East Asian,kg,,,yes,no,,,,,
HG00457,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG00458,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG00459,CHS,East Asian,kg,,,yes,no,,,,,
HG00463,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG00464,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG00465,CHS,East Asian,kg,,,yes,no,,,,,
HG00472,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG00473,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG00474,CHS,East Asian,kg,,,yes,no,,,,,
HG00475,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG00476,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG00477,CHS,East Asian,kg,,,yes,no,,,,,
HG00478,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG00479,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG00480,CHS,East Asian,kg,,,yes,no,,,,,
HG00500,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG00501,CHS,East Asian,kg,,,yes,no,,,,,
HG00502,CHS,East Asian,kg,,,yes,no,,,,,
HG00512,CHS,East Asian,kg,,,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG00513,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
